month_id,platform_id,dwd_sales_money,v2_sales_money,money_difference,dwd_sales_num,v2_sales_num,num_difference,dwd_shop_count,v2_shop_count,shop_difference,status
202601,1,7457153513.54,7457153513.54,0.00,87416818.0000,87416818.0000,0.0000,1544583,1544583,0,PASS
202601,2,270007951082.45,270007951082.45,0.00,860025047.3671,860025047.3671,0.0000,193325,193325,0,PASS
202601,3,26869170942.00,26869170942.00,0.00,4668134.0000,4668134.0000,0.0000,377257,377257,0,PASS
202601,4,25327812033.00,25327812033.00,0.00,250049171.0000,250049171.0000,0.0000,127972,127972,0,PASS
202602,1,21987394124.14,21987394124.14,0.00,411555509.0000,411555509.0000,0.0000,1544583,1544583,0,PASS
202602,2,142160225330.36,142160225330.36,0.00,456328113.4488,456328113.4488,0.0000,203107,203107,0,PASS
202602,3,27773171316.00,27773171316.00,0.00,4732751.0000,4732751.0000,0.0000,384017,384017,0,PASS
202602,4,18385546381.00,18385546381.00,0.00,111511606.0000,111511606.0000,0.0000,127972,127972,0,PASS
202603,1,13090196332.72,13090196332.72,0.00,270298496.0000,270298496.0000,0.0000,1544583,1544583,0,PASS
202603,2,250883342319.91,250883342319.91,0.00,447987433.4964,447987433.4964,0.0000,195627,195627,0,PASS
202603,3,24876817080.75,24876817080.75,0.00,4266650.0000,4266650.0000,0.0000,370415,370415,0,PASS
202603,4,7706064046.00,7706064046.00,0.00,63344098.0000,63344098.0000,0.0000,127972,127972,0,PASS
202604,1,17183437808.57,17183437808.57,0.00,303539760.0000,303539760.0000,0.0000,1544583,1544583,0,PASS
202604,2,318317776093.91,318317776093.91,0.00,437734899.8339,437734899.8339,0.0000,191518,191518,0,PASS
202604,3,25348930152.75,25348930152.75,0.00,4446424.0000,4446424.0000,0.0000,383279,383279,0,PASS
202604,4,52569652237.00,52569652237.00,0.00,674979660.0000,674979660.0000,0.0000,127972,127972,0,PASS
202605,1,15502959066.88,15502959066.88,0.00,277196674.0000,277196674.0000,0.0000,1544583,1544583,0,PASS
202605,2,255119964668.76,255119964668.76,0.00,424736102.8487,424736102.8487,0.0000,186970,186970,0,PASS
202605,3,24518543049.00,24518543049.00,0.00,4254877.0000,4254877.0000,0.0000,379664,379664,0,PASS
202605,4,58518668515.00,58518668515.00,0.00,577841145.0000,577841145.0000,0.0000,127972,127972,0,PASS
202606,1,13810299384.00,13810299384.00,0.00,250178056.0000,250178056.0000,0.0000,1544583,1544583,0,PASS
202606,2,203505379081.58,203505379081.58,0.00,418372104.7345,418372104.7345,0.0000,183689,183689,0,PASS
202606,3,48298298109.75,48298298109.75,0.00,8246370.0000,8246370.0000,0.0000,376708,376708,0,PASS
202606,4,64184747669.00,64184747669.00,0.00,616113076.0000,616113076.0000,0.0000,127972,127972,0,PASS
